CountryShortName,Year,IndicatorName,Value
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$",1171521386.24649
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",58633360911.0917
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",63599224617.836
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",70613112952.8034
Bangladesh,2021.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",59418943316.2068
Bangladesh,2022.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",64865790921.737
Bangladesh,2023.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",72024847579.5166
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$",576800129.782982
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$",487432592.79668
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$",595795748.761309
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, US$",8190083538.34598
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, US$",10123220020.2834
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, US$",16136622899.7287
Bangladesh,2021.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",10155421266.8101
Bangladesh,2022.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",12015981398.9789
Bangladesh,2023.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",17753241254.9286
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",1440719896.25647
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",2034190400.57117
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",2042227649.08953
Bangladesh,2021.0,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",1440719896.25647
Bangladesh,2022.0,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",2034190400.57117
Bangladesh,2023.0,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",2042227649.08953
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",4943434225.35029
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",6417943379.20781
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",7695342354.49744
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",151015881925.336
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",155663756949.203
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",159666722463.482
Bangladesh,2021.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",155959316150.686
Bangladesh,2022.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",162081700328.411
Bangladesh,2023.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",167362064817.979
Bangladesh,2021.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",39476246953.1646
Bangladesh,2022.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",38994193966.0869
Bangladesh,2023.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",35538335547.7355
Bangladesh,2021.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",177041325.55682
Bangladesh,2022.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",1649172.90833491
Bangladesh,2023.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",1516774.79335294
Bangladesh,2021.0,"Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",0.0
Bangladesh,2022.0,"Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",0.0
Bangladesh,2023.0,"Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",0.0
Bangladesh,2021.0,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",51173736.7810161
